run,IGD,HV
1,0.004429861022021111,5.901904982479414
2,0.0039034140724175715,5.902182588967999
3,0.004203745733293612,5.9016641190079415
4,0.004431491182667808,5.902925061093127
5,0.003988215804061098,5.901787810494402
6,0.004198759620435031,5.900335339392192
7,0.003997029896276661,5.902200841100258
8,0.004020173137143494,5.899426463303865
9,0.0036121759538511105,5.901708548587636
10,0.004050637766898095,5.898308443506783
11,0.0038118497848112476,5.901231626822961
12,0.003213428006045583,5.905841189407111
13,0.0038041479361079723,5.906853737925909
14,0.004397709746941449,5.897746075036123
15,0.0038814597511671513,5.905474981346485
16,0.004530475338725171,5.8942467289898035
17,0.0036201392726489417,5.904779857410802
18,0.003622128204866008,5.901902409632862
19,0.003928166054115361,5.903273452522479
20,0.004252192628101306,5.898088913378864
21,0.003689312253253715,5.904470286268217
22,0.004242057792225764,5.900404794384201
23,0.003632627203275016,5.903258153579428
24,0.003725208518878975,5.90176102321043
25,0.003764621110227894,5.903886856895682
26,0.0037946256604233252,5.905511289587267
27,0.003924947734128117,5.902197119385654
28,0.0035099074532982605,5.903785278324843
29,0.004076849863801207,5.900091061123781
30,0.0038346703262181585,5.903340458619737
