run,IGD,HV,Time
1,0.0012339050501377308,5.153490243118826,12.350180625915527
2,0.0012401599879217763,5.153526726973707,11.875443458557129
3,0.0011389305707584793,5.153524867473088,12.19691801071167
4,0.0012314937118339453,5.153514689487951,11.67686152458191
5,0.0013125567865183172,5.153466957216944,11.631089210510254
6,0.001039955048445838,5.153546532023581,11.966975927352905
7,0.0011613543839953228,5.15347782864774,11.90986156463623
8,0.0012278683248118539,5.15351409112765,11.75955605506897
9,0.001200304103429089,5.153531373711795,10.332093477249146
10,0.0011409580604949707,5.153514175504952,8.76647686958313
11,0.0011222496945706758,5.153533543569674,8.14549994468689
12,0.0010840665678701952,5.153494514762369,9.713679552078247
13,0.0010422408928695487,5.153539381558625,8.85685420036316
14,0.0011869373618489361,5.153497542783627,7.367427825927734
15,0.001035715597309697,5.153532333310403,7.262454032897949
16,0.0010792099903429659,5.153533470246522,7.021590232849121
17,0.001147271775397835,5.153501055307066,6.91713285446167
18,0.001193321032283034,5.153516930658278,7.078797340393066
19,0.0010495246238129677,5.153512644693854,6.937747240066528
20,0.0011347853053244644,5.153510073110925,7.053517580032349
21,0.0013033531470180697,5.153482970300103,7.125224351882935
22,0.0011037963945735036,5.153498370963865,7.704694986343384
23,0.0012101830467745375,5.153504285312674,8.529048442840576
24,0.0011619731229250128,5.153534708446207,7.319737672805786
25,0.0011183288595102443,5.153544529840566,7.157863140106201
26,0.0011673174503048645,5.153542188562686,7.01427960395813
27,0.0011792678474456641,5.153517327403138,7.821232080459595
28,0.001059150536483693,5.153521494819783,9.233652114868164
29,0.0010059614659169815,5.153505103485696,8.007730484008789
30,0.0010611527154807685,5.1535018287977294,7.357645034790039
