run,IGD,HV,Time
1,0.001487385768576969,5.913802254985562,3.063922166824341
2,0.0016993660566482374,5.914095493751945,2.9557077884674072
3,0.001547300868045761,5.9140450738851715,2.886021852493286
4,0.004305078937164242,5.907153725290062,2.944849967956543
5,0.0017806317739834973,5.914262089309557,2.7406086921691895
6,0.00156680445964607,5.914262158708029,2.9268972873687744
7,0.0019839455769610163,5.911599464828121,3.033268451690674
8,0.003627062421758042,5.908925669502101,3.0280637741088867
9,0.0013848490420563834,5.914643159607681,2.884181499481201
10,0.001502184218872767,5.914196072005183,3.141472339630127
11,0.002098251472574997,5.9103672980133295,3.391688585281372
12,0.0015615502566471223,5.914127412464166,3.2979702949523926
13,0.0017953669735680004,5.912910501455113,3.2012240886688232
14,0.0020792050370215392,5.911542200143371,3.2162091732025146
15,0.002110483211164884,5.91076677648398,3.1819446086883545
16,0.001692083054861896,5.913126796868622,3.17006778717041
17,0.002074930982589243,5.91339388247597,3.475370407104492
18,0.0015692100080092436,5.9145148041730815,3.346400737762451
19,0.0014478605703628904,5.913760885748905,3.6565582752227783
20,0.0016811199110083992,5.914050731181357,3.6955432891845703
21,0.002558726077943081,5.911743838244731,3.647351026535034
22,0.0037021087065128738,5.90902469764311,3.503683090209961
23,0.005603583823431284,5.879889567653992,3.7676401138305664
24,0.0016310352669920481,5.914257701614097,3.5933780670166016
25,0.002957228004185884,5.910520245097933,4.370899438858032
26,0.001369632730152775,5.9146785134965745,4.054502487182617
27,0.002044415291591281,5.9129541566472925,3.9859602451324463
28,0.0028030911411312544,5.90825031250333,4.374311447143555
29,0.0013703634444730787,5.914101711629316,4.2793989181518555
30,0.0015647159339571047,5.914470955722977,3.74615216255188
