run,IGD,HV,Time
1,1.4274110870989407,45.17755819173172,21.292916297912598
2,1.4273776394220814,45.053935028710825,21.40506672859192
3,1.428395196771857,44.95150722203618,21.671276092529297
4,1.4180716079449225,45.2557054119058,22.13463521003723
5,1.4217260108369718,45.20599975831297,21.855300426483154
6,1.4245044434508596,45.23978730577548,21.943464994430542
7,1.4353478089351313,44.83569898164769,22.65449810028076
8,1.427952523809938,45.03313081455023,23.578131675720215
9,1.4261540785889826,45.04778862643922,23.258885145187378
10,1.427253175828777,45.11405378242647,23.026548624038696
11,1.4474981614920424,44.064155930756904,23.109445333480835
12,1.430613093491888,45.11978174528319,22.760623931884766
13,1.4185284100377051,45.176042129736416,22.35491132736206
14,1.4237055884069305,45.091398655661536,23.014480352401733
15,1.4247507336127436,44.934441932346765,23.064921617507935
16,1.4235927919113789,45.09673303855935,22.512802839279175
17,1.417262989955516,45.21672762419485,22.895527124404907
18,1.4229605196714878,45.10822925216489,23.090800046920776
19,1.4371721360365843,43.82323281228727,22.941255807876587
20,1.4158830802781583,45.33114517152603,23.399409770965576
21,1.4295702766464042,44.90207556185493,23.252838850021362
22,1.4257815686529707,45.13170816914202,22.518208742141724
23,1.416397594919181,45.16153728101346,22.462035655975342
24,1.4187879261049776,45.14774862560429,22.45231556892395
25,1.4751364472182658,43.478146795773284,23.09584331512451
26,1.4276476844823889,45.17337013874918,23.09374713897705
27,1.4236619268029875,45.20515012872997,22.99778461456299
28,1.4225239174297968,45.09773424294069,22.841828107833862
29,1.4248845342594172,45.034201262193946,22.946598529815674
30,1.4272577015701793,44.93433262195326,23.069387197494507
