run,IGD,HV
1,0.26421701263371344,93.19775208990944
2,0.25730693965461165,92.76839533662073
3,0.45898695311680865,85.3345441093313
4,0.3196662289420636,91.82863809112148
5,0.570114166173115,79.27799591293171
6,0.54940505488326,78.96821985215023
7,0.5857661684571895,78.94393626347393
8,0.5278285780218397,79.79470597917424
9,0.5775734389056416,78.73497135651446
10,0.5882318400508935,79.15969672118166
11,0.3113178510481292,93.12152648000414
12,0.3348279571089988,91.79545309946788
13,0.636050165633189,79.27008944792692
14,0.28780406646848417,92.12692004777975
15,0.5576427175994558,79.29358517700392
16,0.3700316474891083,90.8014800336246
17,0.5562105153551228,80.71021759764926
18,0.30496126243673655,91.72576678724343
19,0.575662261598157,79.37848457476282
20,0.27238572635677,92.10229540376486
21,0.3183499613728647,93.01210957714503
22,0.3363878037113727,91.47770477752475
23,0.33900444943355823,91.6059175977423
24,0.31974517134252095,92.90203427847953
25,0.41927852036241686,89.58499993639039
26,0.628269081890063,78.92264993351644
27,0.5417724305666336,79.85544690712234
28,0.40964873902434895,90.87529601657526
29,0.5224291575949751,82.7235703661238
30,0.4317661246131583,86.18715397014219
