run,IGD,HV,Time
1,0.24936814677697966,65.19011196689355,14.892798662185669
2,0.2777835742897566,65.2935692816086,15.150436162948608
3,0.24034642438148293,65.66911712205722,15.067718982696533
4,0.25763809416842326,64.66700736559527,15.078274250030518
5,0.30393053083130245,63.044094385340685,15.539989471435547
6,0.31195912818954125,62.979282311833224,15.123005628585815
7,0.28748396523370295,63.805323287993296,14.891751289367676
8,0.2900519264639089,63.827027757208214,14.837767601013184
9,0.2558796145964477,64.86347781405254,14.969793558120728
10,0.26081441109606435,64.496152482384,9.86998724937439
11,0.25701319554466745,64.63497770736674,10.480803489685059
12,0.27305458810520294,64.41971841495088,9.182951211929321
13,0.2920957649656912,63.85282120076723,9.556632995605469
14,0.28043960054309297,63.54120469016084,9.187821626663208
15,0.27609602259939336,64.11300558543343,9.334421157836914
16,0.24910338883239636,64.80250557196372,9.505292654037476
17,0.27015877407185146,64.01831602553477,11.347366094589233
18,0.31664988556279866,63.55279908020164,15.248532772064209
19,0.258759051284027,64.65407264560757,14.59988784790039
20,0.2882154582831564,63.579183275144,14.688940048217773
21,0.24437837987520764,66.0367824520317,14.381507396697998
22,0.29027970154538346,63.70208786941545,14.586103439331055
23,0.24343583793944024,64.8583336173832,14.699607849121094
24,0.24844014874314332,65.12403084078804,14.28869915008545
25,0.25592660259794553,64.52068252202389,14.466137409210205
26,0.29167554330042017,63.72033630598374,14.516207218170166
27,0.2566270248743865,65.14974025930617,9.102239608764648
28,0.27508278414581505,63.84960911915316,13.401940107345581
29,0.2592582662459454,64.80705497531615,15.854040622711182
30,0.2762061579891143,63.89762895778111,17.876990795135498
