run,IGD,HV
1,0.24448134868952878,69.23201954118944
2,0.22641473123886727,69.94099118360445
3,0.23753508556723826,69.90695591599507
4,0.23122782307729509,69.95283978659701
5,0.22576680168787994,69.32949715210071
6,0.22065437270048532,69.91498107259758
7,0.23671149867256394,69.75765971147665
8,0.23395837171980588,69.97513083118574
9,0.22098538676211882,69.60494674163289
10,0.2301043648953213,69.74371676852245
11,0.23319006537258957,69.35611594898857
12,0.23693493438312713,69.58487352792963
13,0.24009059715189546,69.39588543028447
14,0.21221700744613328,70.19696495789928
15,0.2311684541782494,69.54491513661912
16,0.2189987993048407,70.05889986187285
17,0.23549390293489428,69.30996351383709
18,0.22318370938705231,70.13387408844602
19,0.23066441150879302,69.93872967869746
20,0.22698204758443402,69.9661796277118
21,0.24228788490417,69.24260974665995
22,0.22725872872357125,70.15164529823771
23,0.2276503706569478,70.0590309083617
24,0.23304094802286887,69.6865839123199
25,0.236806341696562,69.8131584375898
26,0.22688542592490796,69.75047645735594
27,0.23487613187555595,69.74071406549066
28,0.2309680929273915,70.27157212294645
29,0.2311256165905227,70.17024155185558
30,0.23516214295356172,69.94355460208934
