run,IGD,HV
1,0.4619406418043645,3.9834269353971465
2,0.5168974478642425,3.913177161004183
3,0.14425966145932395,4.529586285287933
4,0.3762221680028082,4.100837970744154
5,0.5412378548658022,3.8832387523776273
6,0.43299570681143373,4.021800178075081
7,0.55269850007536,3.8740936775268637
8,0.3326540169531085,4.168748857512987
9,0.517719909972843,3.9120533960939823
10,0.37773442010511465,4.098995368998866
11,0.4618277714202314,3.983472447875516
12,0.0401538517533654,5.099037187651927
13,0.3871535742853564,4.08514618521186
14,0.0011459531327558737,5.153541941599433
15,0.09280510354196346,4.651603229328274
16,0.048684701346630783,5.060735353172156
17,0.3576666711158273,4.129762515080959
18,0.00571580495579926,5.148029802507098
19,0.008813602052533627,5.145609816587033
20,0.12949325920919902,4.5440708942546815
21,0.4448086685209667,4.022199965191015
22,0.5500953132507774,3.872260370965139
23,0.005880127829688492,5.148829220021286
24,0.4631036786792357,3.9818973206544124
25,0.3259160252682086,4.1757474592218875
26,0.46835303835719627,3.977165087550319
27,0.32495966549045624,4.177349934433817
28,0.31884317497268916,4.201085990965395
29,0.31755890415888205,4.188264560749198
30,0.5500576826488205,3.8723903343675263
