run,IGD,HV
1,0.07953367101272293,4.783286257587217
2,0.10716178172921857,4.6478758587187325
3,0.10044372530745817,4.685712849078283
4,0.09658838489079637,4.700921240990493
5,0.12809913598916634,4.565886104470312
6,0.11289754191225548,4.623320897775034
7,0.08520494544023015,4.756790420395581
8,0.09761095799265043,4.701656093315232
9,0.08086847016483319,4.774274654229831
10,0.06839803712315301,4.852938333148591
11,0.06358315394282395,4.860641011486908
12,0.12210521778807576,4.5917319107623245
13,0.11600448828085261,4.61741046967232
14,0.12410792479065334,4.58211238512285
15,0.09271940933059572,4.72158585732064
16,0.1241830862790819,4.583078620252551
17,0.09269584963018972,4.700531143527198
18,0.07385126535332037,4.80764505940355
19,0.11928709779252737,4.603869772965904
20,0.12039493901421805,4.591405290642467
21,0.11286494822356943,4.624643257580595
22,0.09141341211436503,4.716727964587442
23,0.04986078544866521,4.954735980752955
24,0.06956378471526947,4.8359255312108695
25,0.06915759709368827,4.84117356242654
26,0.10781728654024242,4.633188473526119
27,0.07273613306085293,4.826023474143834
28,0.09895308984564245,4.686445275691048
29,0.08133468271870363,4.779584162257753
30,0.10644311202065379,4.652230400404875
