Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std,Time_Mean,Time_Std
ZDT1,0.0038983600719587207,0.00032327491743018935,5.903018940261974,0.0028631552027664517,6.614610266685486,0.19969755605989556
ZDT2,0.02639408809791837,0.019650077999362525,5.225763626280313,0.2603788355256578,6.7383277893066404,0.1401036022377898
ZDT3,0.009346077837665232,0.001825421261577551,7.396913687697339,0.010142486982005644,7.390130774180094,1.5017550087493148
ZDT4,16.098285939309005,2.9945828290478995,0.0,0.0,20.869748067855834,4.570019511324161
ZDT6,0.0011457764485470327,7.999676082747914e-05,5.153514392774,2.039163403296602e-05,8.93637551466624,2.017365004688811
WFG1,1.4276863833667242,0.016838651787815063,44.97530538911539,0.45174134790331755,13.606757934888204,3.3818661610401253
WFG2,0.3326551778490713,0.09985984262968689,90.24145911123216,4.1641183646832545,13.575270922978719,3.019823967587351
WFG3,0.2333144430263302,0.030865413517943863,67.00776454771744,1.215695446838757,15.073002370198568,3.658984095434593
WFG4,0.2325700111722321,0.008201186235287794,69.83500402325731,0.32491262653513836,13.292251205444336,3.2430262022815826
WFG5,0.4641602914790966,0.09408886276652777,56.58274909742775,4.104098633222505,18.817087499300637,4.1975066903445954
WFG6,0.31568662415287074,0.014244934696915445,66.07527100732135,0.6762628876404725,20.727127997080483,2.4241361073717598
WFG7,0.3803907218781392,0.013085729702972155,63.32153740395424,0.5913173667083292,18.456734919548033,3.7631750693581703
WFG8,0.44258117653400336,0.01762189056648644,59.20280268393729,0.8159401193633762,20.521864287058513,1.8886631374788194
WFG9,0.2611269076807888,0.011675080151816687,67.18188179069547,0.6398443122047653,21.513304034868877,0.7876728297087222
