run,IGD,HV
1,1.4211490087249463,45.24443173336501
2,1.4169847920028957,45.1946056820449
3,1.4186653400762752,45.13521727318111
4,1.417787191986063,45.33137262629022
5,1.4180994620915144,45.32722402232014
6,1.4226532417664788,45.126229847245106
7,1.4250332057877293,45.07110322308765
8,1.419974668225238,45.27438806938192
9,1.4289845285566452,45.154725118921704
10,1.4298366054301108,45.07923804947505
11,1.421972578542983,45.19379073771662
12,1.4276448257842427,44.927633000864994
13,1.414926324990624,45.40727265941484
14,1.417450176567281,45.23007834664436
15,1.4202638808217787,45.38968520167364
16,1.4247658141311959,45.21872460524344
17,1.4237177157189052,45.303887492652734
18,1.4189184136710153,45.30912153362273
19,1.4208944214136314,45.312792708155456
20,1.4226795990892243,45.30636953338511
21,1.4280869315247098,45.04187974629777
22,1.4239617917414085,45.177814335622486
23,1.4883351685449977,43.31276565432472
24,1.46022411678713,43.916829660307904
25,1.42057106474053,45.29032400465298
26,1.4901854734596176,43.09723035687153
27,1.4115074986328842,45.45299777762265
28,1.4201393819609027,45.32461323823788
29,1.4176857282364466,45.37864412498269
30,1.472970959058974,43.587323882354035
