Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std,Time_Mean,Time_Std
ZDT1,0.009450602739527037,0.004302356696548318,5.82977090741828,0.03900742076099802,5.327886025110881,0.5351157263919984
ZDT2,0.0032830469467522777,0.003946544648604231,5.554057007242495,0.080417408333292,6.343920016288758,0.1391093221482545
ZDT3,0.02140876134222807,0.012853867184893264,7.248309552258541,0.13230177619846764,6.2166836023330685,0.14246899779727804
ZDT4,16.461368614666565,2.4793214480702543,0.0,0.0,18.69677002429962,5.113283463743248
ZDT6,0.0011417295965187105,8.110502824077296e-05,5.153503044128823,3.057617174872298e-05,10.29754934310913,1.9024947171327835
WFG1,1.429154191008092,0.016284240736342274,44.949173809442485,0.5592641244501706,10.832276773452758,2.2821916447431665
WFG2,0.2408447114505619,0.011436084563979512,92.61450317376094,0.4463342521607185,12.180155905087789,2.7358602700110906
WFG3,0.2714735323057363,0.021352544900329444,64.61736913555055,0.8128872763483829,12.68842593828837,2.5145125377961928
WFG4,0.23970739963270127,0.008396363462485758,69.36138901228088,0.37413725868901904,12.439243952433268,3.399507515571621
WFG5,0.5623721639525826,0.15045226411510185,52.48510445643506,6.281826616925217,11.64767247835795,2.7327748437658723
WFG6,0.37589818470483277,0.01601618819344438,62.089306341949865,1.1086782685450924,15.846496192614238,4.158765692533693
WFG7,0.391812286350872,0.00419163031822622,62.56449567401451,0.2569975832471999,17.06465326944987,2.1550074662817438
WFG8,0.4854992338168263,0.015726997800364295,56.72422210371566,0.7715805878563158,17.42116249402364,2.372519001319116
WFG9,0.2720196159451378,0.01643908654482743,66.64191681690305,0.9009262599276493,18.409654251734416,3.1776275647899586
