run,IGD,HV
1,0.45512220186941016,59.420606334865646
2,0.35982652405404003,64.39683492138818
3,0.29789755663384676,66.73741616299546
4,0.24571215155641907,70.4648531975234
5,0.45250575528198783,59.99874803501618
6,0.32298238901648646,66.72303488648488
7,0.3925859093900881,64.07638378339766
8,0.3053419866501489,67.66891121323093
9,0.31170157628719636,66.48140164250837
10,0.292208269779765,67.58819814049492
11,0.5511738346656875,56.96503318696215
12,0.4239726081559218,61.3244756536818
13,0.4387177286782616,60.47166417032075
14,0.33195754592344595,66.11874194580383
15,0.29985534139676284,67.46782417031703
16,0.3622334930554551,64.51541406037579
17,0.3660920179993784,66.20027577721343
18,0.3952766849306395,63.28715912264965
19,0.3332847692990554,66.20008343874764
20,0.2901469908878617,67.44694846628423
21,0.32144068580512686,66.85773509140314
22,0.37040887056258937,63.81508153937566
23,0.38774135101614116,62.60884774161684
24,0.28952514576912547,67.82814325872349
25,0.41086191596259114,62.69186250370371
26,0.5313059793375051,57.63607046363879
27,0.3539461782040853,64.71612619743149
28,0.337530717346357,65.43305366144946
29,0.33114019244423126,65.31524683802014
30,0.26839049072960436,69.36091989931543
