run,IGD,HV
1,0.24147367805230585,92.11490248981032
2,0.26486697419068256,92.93812244666125
3,0.2593554629556987,92.340568760487
4,0.22977367858245046,92.7318050349006
5,0.2697939622976984,91.87008646946977
6,0.2764229218772733,91.62542012142524
7,0.26475797545290536,92.62295125084277
8,0.24508629323315598,91.99732533532175
9,0.2854757938206814,91.91957751736157
10,0.27201143783324283,91.81687247458353
11,0.26230691016514845,92.45249210660543
12,0.24429116698012626,91.73680134544827
13,0.23459233941465496,92.27557080062184
14,0.25429713926161146,92.0042482380451
15,0.2814806552824924,92.35392779311249
16,0.2625423932939571,92.34752292010288
17,0.2458132954527961,92.88165745304417
18,0.2514942490786378,91.80538567452429
19,0.24415230225755621,92.83991232455989
20,0.25424971170301436,92.76142315911757
21,0.246369553954291,93.19041945286206
22,0.27108112033109477,92.6548121810855
23,0.2639590339197228,92.48953090048417
24,0.25430878076829455,92.11199407301544
25,0.26918541122167317,91.5902214522122
26,0.23416517479840404,92.29469213141702
27,0.2411542495823862,91.93345927824399
28,0.2535815073761057,91.66612398689362
29,0.20979833604535872,92.24494767486675
30,0.24159157980557946,92.42664996418507
