run,IGD,HV,Time
1,17.45486709960372,0.0,12.417391777038574
2,17.0337276330401,0.0,12.034984827041626
3,21.470739071530257,0.0,12.602229833602905
4,16.900006930126317,0.0,12.93903923034668
5,17.29051427749237,0.0,12.885767698287964
6,10.03853444562726,0.0,13.039738893508911
7,17.42904766409686,0.0,16.381916522979736
8,18.406162513679334,0.0,21.951000452041626
9,14.62187033108901,0.0,26.49801278114319
10,19.66845278409618,0.0,25.30815076828003
11,14.524742222623424,0.0,20.375282526016235
12,17.94431891967322,0.0,26.96216607093811
13,15.34420801276773,0.0,24.74512767791748
14,15.753826375895388,0.0,24.780457258224487
15,16.481914426697124,0.0,23.9295756816864
16,15.716002075681837,0.0,24.1566002368927
17,15.334944912478994,0.0,24.22511601448059
18,17.118649871539034,0.0,24.554317474365234
19,16.74870726502322,0.0,18.23021411895752
20,19.81014824986175,0.0,20.568466663360596
21,15.738371791218187,0.0,23.69849133491516
22,15.405093374606839,0.0,19.594902515411377
23,10.292243481735317,0.0,15.366111040115356
24,16.71031213994439,0.0,16.367599487304688
25,15.464408544375381,0.0,15.292343139648438
26,15.089547919313318,0.0,14.435486555099487
27,19.961512851359046,0.0,14.02751612663269
28,18.40831131831405,0.0,15.27571177482605
29,13.533989474070138,0.0,14.084039449691772
30,18.14588246243722,0.0,14.175342798233032
