run,IGD,HV,Time
1,0.2641709817829177,67.58825591830438,22.32281804084778
2,0.2624689999870418,67.26028143856425,20.995155334472656
3,0.2604319168976569,67.45711406769269,22.037389516830444
4,0.2566384136856717,67.23744033787352,22.196418285369873
5,0.2521663947759823,67.29862473927659,21.43060827255249
6,0.2550892645367721,67.62959377013965,22.35477638244629
7,0.25786138320239077,67.17587973668674,21.501463651657104
8,0.267957427883521,66.8415976375057,20.737879991531372
9,0.2571877339355114,67.10633327810994,22.215798377990723
10,0.2938125564692049,65.0616275376132,19.008745670318604
11,0.2787898589123176,66.3791977989604,21.670047521591187
12,0.24499064920400998,67.75628249767784,22.217557907104492
13,0.2622495353108761,67.4997783059817,21.75982689857483
14,0.2712867198995254,67.06747476165151,21.31958556175232
15,0.2517572322027154,67.46116561702704,21.704793453216553
16,0.25769136919625596,67.52649594021902,22.052167654037476
17,0.2506956105914484,67.52988159129978,22.007120609283447
18,0.25848112339064194,67.82502033984821,22.562628507614136
19,0.2562136806549264,67.41863807926549,21.041653633117676
20,0.25422784670953896,67.55015115112508,21.493757247924805
21,0.2647425313433543,67.10323754904222,21.03978204727173
22,0.260359232197531,67.33620007940151,22.019940614700317
23,0.2456202739152183,67.7071049619012,22.07706093788147
24,0.2961526227090134,65.1276391467523,19.473777770996094
25,0.2593430346886138,67.14648122764436,21.455568552017212
26,0.258324165319357,67.17704128078657,20.971309661865234
27,0.25795488281209833,67.47725784392867,21.806631803512573
28,0.26770052242957476,67.0729504222017,21.589102745056152
29,0.2607203630486238,67.07784289018814,20.898517847061157
30,0.24872090273135025,67.55986377419468,21.437236547470093
