run,IGD,HV
1,19.41520518411158,0.0
2,20.466575249930518,0.0
3,14.328760628083808,0.0
4,11.691934684349881,0.0
5,17.302607681577516,0.0
6,19.395161664233264,0.0
7,16.980270307196875,0.0
8,13.198269316090595,0.0
9,21.83613438359726,0.0
10,13.914936812008532,0.0
11,15.549101091926804,0.0
12,15.878968541098164,0.0
13,14.376884789408878,0.0
14,18.0972074368085,0.0
15,14.056865869272817,0.0
16,14.97056557075768,0.0
17,13.106531916341975,0.0
18,18.49521004321918,0.0
19,10.846748514241902,0.0
20,10.261757385628698,0.0
21,13.35959812351157,0.0
22,15.534187384437367,0.0
23,11.414622411211502,0.0
24,15.871903148069178,0.0
25,15.28170105871289,0.0
26,16.614126670429645,0.0
27,17.387814717075397,0.0
28,13.83806952767194,0.0
29,17.242269689003024,0.0
30,13.771689451459885,0.0
