run,IGD,HV
1,0.00113735521179684,5.153513571930953
2,0.0010493421172305326,5.153537326976503
3,0.0011659210040040134,5.153507732616398
4,0.0012021965608429437,5.1534871185128965
5,0.0011391834589628228,5.153472313424746
6,0.0011212124215067146,5.153499532847141
7,0.0011863841299204732,5.1535070097621745
8,0.0011708219627052589,5.15351869508353
9,0.0011849931832078318,5.153530359764069
10,0.0010485850402652745,5.153518820621535
11,0.0009465133236281027,5.1535153321308
12,0.0011309204633613802,5.153497955390406
13,0.0012566402299695985,5.1535471278125335
14,0.0009972395766973815,5.153485957063048
15,0.0012145428827039786,5.153497101618038
16,0.0011023909663641102,5.153513526298497
17,0.0010341640502511949,5.153490210831009
18,0.0012101168425485086,5.153535254225426
19,0.0010768865756161275,5.153469465187912
20,0.0012476523477931065,5.153484448589063
21,0.0011559747929901338,5.153441249296859
22,0.0010772016064179838,5.1535109728799045
23,0.001208429558553483,5.153523983367643
24,0.0011560124334412335,5.15350728109205
25,0.001222403806519197,5.153505854566796
26,0.0010672643611914097,5.153503607782756
27,0.0010440955739910436,5.153466404148056
28,0.0011400953258129838,5.153520410782804
29,0.0011556813612466198,5.1534739378916194
30,0.0010325937814180649,5.153518038663465
