Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std,Time_Mean,Time_Std
ZDT1,0.0021533190340630617,0.000991489073427175,5.911514605037821,0.006342091832441743,3.4187082688013715,0.4617338681416809
ZDT2,0.019527424041837663,0.07644512761671017,5.4695204258239976,0.3295473186785702,5.455914068222046,0.7711512689566814
ZDT3,0.004395804372082589,0.003843005148103289,7.416905097046996,0.048112131620439424,3.958917570114136,0.3541604271347699
ZDT4,18.137261031824263,2.6997001285425095,0.0,0.0,12.360044280687967,1.618318440090731
ZDT6,0.29743669918690147,0.1769145768972296,4.324724562314274,0.4442244153006401,9.419631218910217,0.270864811191518
WFG1,1.446397904642545,0.039708639217689315,44.14624091726595,1.3433977766203378,12.86020835240682,0.4430716487222903
WFG2,0.2539861659832429,0.043926227910624054,93.34208741625203,1.8132451949562833,13.130896870295206,0.20668776505692368
WFG3,0.3101525043387924,0.051655278293654995,66.48059263413846,1.4455873077203334,12.853897182146708,0.1479805525722027
WFG4,0.27471386801327474,0.060464512980569186,67.91021776391463,2.806715203532472,12.75568597316742,0.1523937010734686
WFG5,0.4062450693354107,0.12369958825940112,59.71772885943923,5.490769324559642,9.368473585446676,1.4527626953982236
WFG6,0.35910419685262673,0.06245804627663873,64.5189603178266,3.26054151943899,9.76529716650645,0.8948891735007287
WFG7,0.3380473194171072,0.023888674309668446,66.17683112067904,1.2235537096458922,12.753010145823161,0.4936844722409938
WFG8,0.6161076271157561,0.06789908869465351,52.64164761438492,2.870866892261771,11.956026069323222,1.7172713351826303
WFG9,0.28759065901765557,0.05275511828280221,65.93780457463322,2.325936672634301,13.587521147727966,0.7710372063342031
