run,IGD,HV,Time
1,1.4089024751212107,45.489807240291455,18.13757562637329
2,1.4623545242261242,43.85464003011617,14.436941623687744
3,1.4675855651820695,43.89900131454429,12.543380498886108
4,1.4179872155677133,45.35648891395384,12.790910959243774
5,1.413209040063639,45.52151244273162,13.099904537200928
6,1.4143134998760543,45.287965717301766,12.622932195663452
7,1.4571766803029174,44.14031991504561,12.377159595489502
8,1.403292323247922,45.698588834527136,12.318550825119019
9,1.474234787602649,43.700849915992315,16.22877812385559
10,1.4076564792963921,45.49421849992748,13.974544525146484
11,1.4140648845941846,44.728502987785006,15.877769470214844
12,1.474204977495396,43.64437445655929,18.414129972457886
13,1.4620825200120284,43.97365905418263,18.74069309234619
14,1.434819174247374,44.38077943163398,18.845153331756592
15,1.4658437253585568,43.86924723854894,13.73678469657898
16,1.4134798562253315,45.416441147803184,12.180068969726562
17,1.4128728124800995,45.42987885835299,12.425645112991333
18,1.4093423817770732,45.43190723789266,12.204049825668335
19,1.463110157484317,43.74972509252893,12.593462228775024
20,1.4078307447885425,45.60730387977275,13.3910551071167
21,1.4784643482949829,43.49854979192704,13.26496171951294
22,1.4288582691789546,44.98814295551725,12.365571975708008
23,1.4142543713492604,45.31981112676976,12.635342359542847
24,1.4072456460148193,45.546439984789004,18.393644332885742
25,1.4871870993821834,43.523650542114346,18.61462116241455
26,1.4135474976788978,45.43301883406423,19.10620617866516
27,1.414526724857518,45.358237147096496,18.946152210235596
28,1.4110733313490367,45.42561462818509,19.572645902633667
29,1.4619490566907227,44.017504349359,19.144070386886597
30,1.46519549092939,43.83240090185591,18.812469244003296
