Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std,Time_Mean,Time_Std
ZDT1,0.02358020955059905,0.005652283523695035,5.745186742185867,0.026460126207340045,7.964131704966227,0.38339761307359593
ZDT2,0.05747950672065241,0.02262314592159619,4.935417127262434,0.18120314195352938,9.03861395517985,0.14891912394921583
ZDT3,0.0907079688776308,0.03898956798227346,6.773697633880941,0.22677027979296477,12.989021563529969,3.1542786840311976
ZDT4,15.879283647881863,2.771860415920036,0.0,0.0,20.1910160779953,4.493273707643014
ZDT6,0.0011560862366015753,7.818719163740386e-05,5.153510948378694,2.1686360448564783e-05,10.34784057935079,2.282128632438497
WFG1,1.4355555220225118,0.028283535565954775,44.72061941570568,0.8057469575947834,15.259839193026226,2.8988393146325717
WFG2,0.43301531201036564,0.13728539194735032,86.81111402628592,6.321254820325693,16.585423231124878,3.538997463533465
WFG3,0.2695820679454275,0.020152611887480073,64.09449353295872,0.6928023126196862,14.599114910761516,2.8811615491662965
WFG4,0.23320984365809952,0.008161813924924967,69.11459023754172,0.5427642762675713,20.3050146261851,3.8857282790795047
WFG5,0.8658129533649099,0.032834472304489895,40.25136461188717,1.0952998054938399,21.16834036509196,2.273494266691365
WFG6,0.3608019504782265,0.015226355697871312,62.085150875275026,0.9532917089658971,20.539940722783406,3.4134092460825936
WFG7,0.39574806866546514,0.0054839092971456,62.03896429143572,0.32344681213086995,21.004615958531698,1.738468687628166
WFG8,0.5304022735402798,0.01761322326348765,54.063870124382085,0.905407093221024,22.046732695897422,0.4629429249145543
WFG9,0.26446161147967406,0.008215013663530087,66.85133691048759,0.48219922633671347,17.352230151494343,7.360243748695885
