run,IGD,HV
1,0.5366716541984555,54.01064852849067
2,0.5314689782691188,54.77238174014497
3,0.5063287485939736,54.59259791118274
4,0.5020288343977816,55.31470575395099
5,0.5050020628436789,55.51810127158409
6,0.5446373646829766,53.09289648620899
7,0.5097343381408689,54.987272569234726
8,0.5537182296774359,52.16963198501779
9,0.5116771977242799,54.41300172269922
10,0.5046371999483321,54.471602843013095
11,0.4929135595769253,55.901825932466515
12,0.5323333884395972,54.86935223743758
13,0.5150827047954681,55.34654077180534
14,0.5154645976645358,54.88966018969805
15,0.5087273228303637,55.17961018674278
16,0.5176796728359705,54.13063943407099
17,0.5371018399490967,53.58862146066116
18,0.5332419777077472,54.35999424742648
19,0.5151714314231091,54.360760243121014
20,0.4760749602833993,56.4563016572827
21,0.4919789341439176,54.91271123707842
22,0.5159844313257805,55.2051636418876
23,0.5350755614010378,53.63604334151893
24,0.5041748777916302,55.897440534427496
25,0.5278945225454867,54.38744022996607
26,0.5273539485113112,54.752565365308975
27,0.5174902615425648,55.080438776057896
28,0.5435254104676729,54.39674203060944
29,0.5052558944372093,55.735006704006054
30,0.48634394712338413,56.432950097333524
