run,IGD,HV,Time
1,0.04716681817428052,4.98202641481164,8.782418489456177
2,0.02183469436412651,5.2104260863477405,8.775110721588135
3,0.06316199218748178,4.867945555450238,8.906928777694702
4,0.07090759809571091,4.814014431258778,8.918987274169922
5,0.0362536844763468,5.065027737322896,8.876020908355713
6,0.014615599820418828,5.304946162910605,8.960927248001099
7,0.06260388254804738,4.88198376991866,9.132890224456787
8,0.04572743966625628,4.992301661693851,9.290636539459229
9,0.06657119766869488,4.861842169352462,8.852542400360107
10,0.06783622319806061,4.8481363461599,9.155463933944702
11,0.008952810289952451,5.396864669085831,9.033969402313232
12,0.08224278968149186,4.761524800042264,9.179585933685303
13,0.022399998562760582,5.196502345718752,9.095444917678833
14,0.06427149473944808,4.872089072261553,9.0467050075531
15,0.07279753929825458,4.814720036138316,8.931102991104126
16,0.06756565755449351,4.8539850429445615,8.944042444229126
17,0.0467567005904874,4.9845208107187045,9.063797950744629
18,0.0743776428495838,4.816804315324905,9.144070386886597
19,0.07055878608003613,4.831112132988037,9.23686170578003
20,0.06674408019151801,4.856472099691742,8.896315813064575
21,0.011107110863358345,5.347426421704459,9.053254842758179
22,0.05063677004793139,4.94367537471722,8.848803520202637
23,0.06924142347566864,4.839656446312018,9.021245002746582
24,0.09394584070048179,4.710766939595689,8.95747423171997
25,0.05020967152131511,4.960419306588753,9.097559213638306
26,0.08108402840178243,4.77321733061082,9.14358925819397
27,0.07385752984435072,4.8169346759538,9.06866192817688
28,0.06905971574327768,4.844612926903735,9.142811298370361
29,0.07347103555550114,4.821594816736786,9.272269248962402
30,0.07842544542845434,4.79096391860828,9.328927040100098
