Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std,Time_Mean,Time_Std
ZDT1,0.023396483453917268,0.009261166279550804,5.7477559449462206,0.045692774263597045,5.69084107875824,0.1748581827448754
ZDT2,0.06820640501525108,0.04020869509887454,4.9220952848029675,0.33017402408025254,6.62125244140625,0.1350667898831215
ZDT3,0.07646962967917265,0.03247226564538299,6.829533059053855,0.20099718866783836,6.266791613896688,0.20016323844427897
ZDT4,14.584373564646999,2.6455312086333267,0.0,0.0,19.322572302818298,4.5887998775991345
ZDT6,0.001130859601957988,7.730057418602371e-05,5.153495068247072,2.1852692425946835e-05,9.93825159072876,2.0660186354440597
WFG1,1.440402460170802,0.025961079307707323,44.650990270137505,0.7980052488552585,12.125946315129598,2.8206621129799814
WFG2,0.2921896441056012,0.07710910085828049,91.98171355640949,2.743178934969576,11.060628334681192,2.081468679454653
WFG3,0.2712717331025563,0.02077910929015897,64.355668496376,0.7521769446144564,13.390921545028686,2.5641443890971285
WFG4,0.23720189439552256,0.007709325845447919,69.32077717109648,0.44610135590553757,11.631953469912212,2.9658610799600273
WFG5,0.792005918972384,0.0733699201328897,43.152353792449475,2.86062852778031,11.183725674947103,2.8777802732306736
WFG6,0.3837444660357259,0.015140428685707578,61.292444485081674,0.8598677743176778,17.610860713322957,2.662541784496969
WFG7,0.3884478645726532,0.005085746030760934,62.553164809655236,0.24228410664849925,16.869781422615052,2.0752628984758683
WFG8,0.5206510831064214,0.018644385346195388,54.50551168280701,0.9381371850852965,17.382506561279296,2.506104337119869
WFG9,0.2552900599984355,0.007970345970648409,67.22224105930414,0.5119758614550624,18.06066761016846,2.999787313685618
